from,to,weight
5537,1996,0.00088816945
5537,2224,0.0009780299
5537,1997,0.0008104579
5537,1996,0.001523116
5537,17782,0.001365948
5537,11022,0.0014356546
5537,4677,0.0016925625
5537,4668,0.0015228116
5537,1010,0.0013753502
5537,2628,0.0010933897
5537,2011,0.00072491664
5537,3143,0.0010018221
5537,16371,0.00041014803
5537,14321,0.00047990886
5537,26601,0.0019834908
5537,5537,0.014875591
5537,4106,0.006280857
5537,1012,0.0029188097
5537,2093,0.0011855436
5537,2367,0.0023294666
5537,4127,0.0023203243
5537,1997,0.0016267352
5537,3117,0.002255774
5537,2309,0.0011145786
5537,2918,0.001907258
5537,20885,0.0023124996
5537,2015,0.0012989574
5537,1998,0.0023911216
5537,1037,0.0013326269
5537,1016,0.0008813559
5537,2918,0.0012252635
5537,1011,0.0011486057
5537,3940,0.0009892286
5537,16371,0.0010275334
5537,14321,0.0010129489
5537,26601,0.0026889083
5537,3972,0.0016874523
5537,20624,0.0009434366
5537,2239,0.0012134372
5537,2020,0.002187173
5537,4453,0.0028388076
5537,1012,0.013003108
5537,5776,0.0013213061
5537,1044,0.0004191608
5537,2497,0.00045108082
5537,1011,0.0006377479
5537,1019,0.00058169133
5537,2018,0.0008556161
5537,2048,0.00033075447
5537,2391,0.00068497984
5537,14494,0.0016705247
5537,1999,0.00060827023
5537,2010,0.0013356339
5537,5387,0.0014198278
5537,11814,0.0006849239
5537,4962,0.0038152048
5537,1012,0.0012929764
5537,2028,0.00037358535
5537,2001,0.00066287647
5537,2284,0.0007346624
5537,2012,0.00069978036
5537,1996,0.0011001428
5537,15543,0.001362853
5537,2555,0.00088545866
5537,2012,0.0007810993
5537,16371,0.0006080185
5537,14321,0.00057442766
5537,26601,0.0023476544
5537,1011,0.0006708622
5537,6535,0.0007207432
5537,2509,0.00058054156
5537,1998,0.0008041482
5537,1996,0.00048795642
5537,2060,0.00039990665
5537,1006,0.0003337872
5537,1039,0.00037986966
5537,1011,0.0002935997
5537,2000,0.00040099284
5537,1011,0.00027957218
5537,1056,0.0003863077
5537,6653,0.0006158974
5537,1007,0.00031555555
5537,2001,0.0004409322
5537,2179,0.00073521567
5537,1999,0.0004079484
5537,4654,0.00035870905
5537,2239,0.00036212092
5537,6819,0.0006276111
5537,1997,0.00035716538
5537,1996,0.00046214054
5537,4962,0.0014862302
5537,5278,0.00052261294
5537,1043,0.00022170952
5537,19666,0.00034194367
5537,1011,0.00035454068
5537,19871,0.00040877776
5537,2000,0.00036611702
5537,1037,0.00023574325
5537,2644,0.00042927638
5537,19429,0.00041475214
5537,2239,0.00032862392
5537,1012,0.0008456565
5537,5776,0.0004935335
5537,1044,0.00015712653
5537,2497,0.00015159769
