split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,487,1119,859392,18711,2694384,3553776
train,488,1243,954624,21293,3066192,4020816
train,489,1015,779520,16570,2386080,3165600
train,490,1219,936192,20755,2988720,3924912
train,491,962,738816,15393,2216592,2955408
train,492,1478,1135104,26165,3767760,4902864
train,493,1241,953088,21247,3059568,4012656
train,494,1233,946944,21066,3033504,3980448
train,495,1265,971520,21780,3136320,4107840
train,496,1325,1017600,22954,3305376,4322976
train,497,1073,824064,17702,2549088,3373152
train,498,1084,832512,17934,2582496,3415008
train,499,1301,999168,22464,3234816,4233984
validation,0,1312,1007616,22686,3266784,4274400
validation,1,1093,839424,18128,2610432,3449856
validation,2,1022,784896,16698,2404512,3189408
validation,3,1307,1003776,22584,3252096,4255872
validation,4,1065,817920,17536,2525184,3343104
validation,5,1227,942336,20932,3014208,3956544
validation,6,1302,999936,22484,3237696,4237632
validation,7,1270,975360,21872,3149568,4124928
validation,8,1107,850176,18438,2655072,3505248
validation,9,1121,860928,18757,2701008,3561936
validation,10,1240,952320,21224,3056256,4008576
validation,11,1255,963840,21572,3106368,4070208
validation,12,1093,839424,18128,2610432,3449856
validation,13,1027,788736,16791,2417904,3206640
validation,14,1468,1127424,25944,3735936,4863360
validation,15,1345,1032960,23383,3367152,4400112
validation,16,1291,991488,22268,3206592,4198080
validation,17,1039,797952,17019,2450736,3248688
validation,18,1004,771072,16338,2352672,3123744
validation,19,1191,914688,20162,2903328,3818016
validation,20,1159,890112,19529,2812176,3702288
validation,21,1096,841728,18194,2619936,3461664
validation,22,1181,907008,19959,2874096,3781104
validation,23,1245,956160,21339,3072816,4028976
validation,24,1116,857088,18642,2684448,3541536
validation,25,1312,1007616,22686,3266784,4274400
validation,26,1304,1001472,22524,3243456,4244928
validation,27,1318,1012224,22809,3284496,4296720
validation,28,1392,1069056,24422,3516768,4585824
validation,29,1446,1110528,25476,3668544,4779072
validation,30,1336,1026048,23187,3338928,4364976
validation,31,1198,920064,20307,2924208,3844272
validation,32,1106,849408,18415,2651760,3501168
validation,33,1197,919296,20286,2921184,3840480
validation,34,1016,780288,16588,2388672,3168960
validation,35,1354,1039872,23582,3395808,4435680
validation,36,932,715776,14769,2126736,2842512
validation,37,1199,920832,20328,2927232,3848064
validation,38,1060,814080,17434,2510496,3324576
validation,39,1276,979968,21983,3165552,4145520
validation,40,1271,976128,21890,3152160,4128288
validation,41,1335,1025280,23166,3335904,4361184
validation,42,1107,850176,18438,2655072,3505248
validation,43,1170,898560,19741,2842704,3741264
validation,44,1014,778752,16551,2383344,3162096
validation,45,1009,774912,16456,2369664,3144576
validation,46,1238,950784,21179,3049776,4000560
validation,47,1210,929280,20561,2960784,3890064
validation,48,1030,791040,16847,2425968,3217008
validation,49,1023,785664,16716,2407104,3192768
validation,50,1386,1064448,24313,3501072,4565520
validation,51,1176,903168,19859,2859696,3762864
validation,52,1374,1055232,24037,3461328,4516560
validation,53,1098,843264,18238,2626272,3469536
validation,54,1090,837120,18063,2601072,3438192
validation,55,1222,938496,20821,2998224,3936720
validation,56,1199,920832,20328,2927232,3848064
