split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
validation,145,361,277248,7669,1104336,1381584
validation,146,543,417024,13896,2001024,2418048
validation,147,474,364032,12017,1730448,2094480
validation,148,421,323328,9727,1400688,1724016
validation,149,439,337152,10003,1440432,1777584
validation,150,442,339456,10638,1531872,1871328
validation,151,383,294144,8818,1269792,1563936
validation,152,459,352512,9383,1351152,1703664
validation,153,481,369408,11518,1658592,2028000
validation,154,456,350208,10812,1556928,1907136
validation,155,362,278016,7712,1110528,1388544
validation,156,391,300288,8461,1218384,1518672
validation,157,484,371712,11590,1668960,2040672
validation,158,538,413184,14856,2139264,2552448
validation,159,344,264192,7331,1055664,1319856
validation,160,394,302592,9089,1308816,1611408
validation,161,405,311040,9738,1402272,1713312
validation,162,478,367104,11815,1701360,2068464
validation,163,418,321024,10019,1442736,1763760
validation,164,475,364800,11847,1705968,2070768
test,0,472,362496,11046,1590624,1953120
test,1,466,357888,11611,1671984,2029872
test,2,568,436224,14582,2099808,2536032
test,3,348,267264,7256,1044864,1312128
test,4,499,383232,11937,1718928,2102160
test,5,479,367872,11089,1596816,1964688
test,6,414,317952,9159,1318896,1636848
test,7,420,322560,9735,1401840,1724400
test,8,493,378624,12185,1754640,2133264
test,9,361,277248,7396,1065024,1342272
test,10,438,336384,9690,1395360,1731744
test,11,454,348672,10883,1567152,1915824
test,12,546,419328,13586,1956384,2375712
test,13,391,300288,8182,1178208,1478496
test,14,439,337152,10426,1501344,1838496
test,15,529,406272,12768,1838592,2244864
test,16,461,354048,11305,1627920,1981968
